Record ID,Function,Family,Job Code,Job,PC,Level,Base Salary-Average,Base Salary-#Orgs,Base Salary-#Cases,Base Salary-10th,Base Salary-25th,Base Salary-Median,Base Salary-75th,Base Salary-90th,Total Guaranteed Compensation-Average,Total Guaranteed Compensation-#Orgs,Total Guaranteed Compensation-#Cases,Total Guaranteed Compensation-10th,Total Guaranteed Compensation-25th,Total Guaranteed Compensation-Median,Total Guaranteed Compensation-75th,Total Guaranteed Compensation-90th,Actual Total Compensation-Average,Actual Total Compensation-#Orgs,Actual Total Compensation-#Cases,Actual Total Compensation-10th,Actual Total Compensation-25th,Actual Total Compensation-Median,Actual Total Compensation-75th,Actual Total Compensation-90th,country
13,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,50,Team Member,112470,6,22,,97275,109773,139604,,113441,6,22,,97275,109773,143163,,120361,6,22,,100477,114874,153929,,
14,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,51,Team Leader,132014,4,4,,,140676,,,133321,4,4,,,140879,,,145453,4,4,,,152642,,,
15,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,52,Team Leader,181969,5,6,,165676,184896,196799,,181969,5,6,,165676,184896,196799,,193984,5,6,,176060,187081,215361,,
16,Actual Data,Administrative Affairs,AFS.01.040,Administrative Affairs Management,53,Team Leader,238848,4,4,,,235146,,,238901,4,4,,,235252,,,287100,4,4,,,283152,,,
17,Actual Data,Administrative Affairs,AFS.01.041,Support Officers,42,Unskilled Worker,44158,4,773,,,47175,,,51664,4,773,,,47175,,,51800,4,773,,,47446,,,
18,Actual Data,Administrative Affairs,AFS.01.041,Support Officers,43,Unskilled Worker,39717,10,776,31489,32591,37170,44956,55834,41458,10,776,32812,34290,37894,46582,61762,42597,10,776,32817,34602,39626,47287,63962,
19,Actual Data,Administrative Affairs,AFS.01.041,Support Officers,44,Unskilled Worker,50031,8,60,,37926,42714,46810,,50501,8,60,,39972,42936,46958,,52554,8,60,,41091,43004,47358,,
20,Actual Data,Administrative Affairs,AFS.01.041,Support Officers,45,Team Member,44382,7,24,,35400,44212,49008,,44748,7,24,,35400,44212,49008,,46372,7,24,,37930,45619,49008,,
21,Actual Data,Administrative Affairs,AFS.01.041,Support Officers,46,Team Member,65614,4,23,,,62368,,,66926,4,23,,,64992,,,70739,4,23,,,71330,,,
22,Actual Data,Administrative Affairs,AFS.01.041,Support Officers,47,Team Member,71171,6,10,,69525,71284,73803,,72319,6,10,,69525,73487,74918,,77800,6,10,,75955,77686,79681,,
23,Actual Data,Administrative Affairs,AFS.01.042,Reception,44,Unskilled Worker,43272,3,25,,,,,,47343,3,25,,,,,,49716,3,25,,,,,,
24,Actual Data,Security,AFS.05.001,Security,44,Unskilled Worker,42656,7,3770,,34389,42854,48702,,45076,7,3770,,40934,44353,48702,,46051,7,3770,,40934,46866,48915,,
25,Actual Data,Security,AFS.05.001,Security,45,Team Member,50011,7,55,,36324,48961,61080,,50810,7,55,,36324,53258,61860,,53202,7,55,,39241,56704,67395,,
26,Actual Data,Security,AFS.05.001,Security,46,Team Member,61541,7,24,,52080,58092,75008,,62364,7,24,,52080,58198,77372,,65936,7,24,,55079,62524,79344,,
27,Actual Data,Security,AFS.05.001,Security,47,Team Member,71713,6,19,,68020,71888,74839,,73322,6,19,,68020,74773,76976,,78053,6,19,,71854,77862,83890,,
28,Actual Data,Security,AFS.05.001,Security,48,Team Member,96465,3,3,,,,,,96765,3,3,,,,,,99413,3,3,,,,,,
29,Actual Data,Security,AFS.05.001,Security,52,Team Leader,181163,3,3,,,,,,181163,3,3,,,,,,191108,3,3,,,,,,
30,Actual Data,Administrative Affairs,AFS.06.001,Drivers,43,Unskilled Worker,51991,5,52,,42002,44508,65722,,56780,5,52,,42002,61237,69328,,57789,5,52,,43180,61237,70674,,
31,Actual Data,Administrative Affairs,AFS.06.001,Drivers,44,Unskilled Worker,65210,10,169,44433,57790,65784,75830,77768,70673,10,169,49123,58825,72198,80460,98372,72829,10,169,49123,59480,75085,84342,98672,
32,Actual Data,Administrative Affairs,AFS.06.001,Drivers,47,Team Member,72039,4,21,,,72081,,,74119,4,21,,,74909,,,76651,4,21,,,77323,,,
33,Actual Data,Corporate Communications,CCA.02.001,"Corporate Communications, Advertising, Brand Management",46,Team Member,55207,3,7,,,,,,55207,3,7,,,,,,56980,3,7,,,,,,
34,Actual Data,Corporate Communications,CCA.02.001,"Corporate Communications, Advertising, Brand Management",47,Team Member,64594,5,14,,54462,70398,71824,,68981,5,14,,54462,70398,82792,,72994,5,14,,58395,76098,86042,,
35,Actual Data,Corporate Communications,CCA.02.001,"Corporate Communications, Advertising, Brand Management",48,Team Member,86243,3,3,,,,,,86503,3,3,,,,,,92070,3,3,,,,,,
36,Actual Data,Corporate Communications,CCA.02.001,"Corporate Communications, Advertising, Brand Management",49,Team Member,93498,6,10,,77359,90776,110250,,96977,6,10,,77359,97826,111943,,102566,6,10,,78238,102188,120864,,
37,Actual Data,Corporate Communications,CCA.02.001,"Corporate Communications, Advertising, Brand Management",50,Team Member,138765,8,36,,116896,127018,175710,,141464,8,36,,116927,127018,181621,,154851,8,36,,120939,141572,202138,,
38,Actual Data,Corporate Communications,CCA.02.001,"Corporate Communications, Advertising, Brand Management",52,Team Leader,178950,3,5,,,,,,183650,3,5,,,,,,202078,3,5,,,,,,
39,Actual Data,Corporate Communications,CCA.02.001,"Corporate Communications, Advertising, Brand Management",54,Team Leader,262988,7,14,,219044,266645,300000,,272429,7,14,,219255,285396,308183,,326798,7,14,,273922,334847,383333,,
40,Actual Data,Corporate Communications,CCA.02.001,"Corporate Communications, Advertising, Brand Management",56,Manager,346617,3,3,,,,,,346617,3,3,,,,,,360928,3,3,,,,,,
41,Actual Data,Corporate Communications,CCA.03.002,Internal Communication,54,Team Leader,267634,3,4,,,,,,267634,3,4,,,,,,307815,3,4,,,,,,
42,Actual Data,Corporate Communications,CCA.05.001,Investor Relations,49,Team Member,97943,4,4,,,95488,,,101663,4,4,,,102928,,,108534,4,4,,,112215,,,
43,Actual Data,Corporate Communications,CCA.05.001,Investor Relations,54,Team Leader,217939,3,3,,,,,,231855,3,3,,,,,,252105,3,3,,,,,,
44,Actual Data,Branch & Regional Management,CCB.02.001,Regional Manager,59,Director,487116,5,97,,446646,488573,526858,,491775,5,97,,449157,490414,535072,,664352,5,97,,605377,647327,731839,,
45,Actual Data,Branch & Regional Management,CCB.02.002,Branch Manager,52,Team Leader,189971,8,612,,180761,192632,198607,,192097,8,612,,182029,195405,203478,,213701,8,612,,205066,214879,232795,,
46,Actual Data,Branch & Regional Management,CCB.02.002,Branch Manager,53,Team Leader,234545,6,216,,222579,233616,244688,,236831,6,216,,226507,236347,246951,,273438,6,216,,256037,274249,293711,,
47,Actual Data,Branch & Regional Management,CCB.02.002,Branch Manager,54,Team Leader,244972,11,2539,197413,214823,229318,270489,315347,246344,11,2539,198026,214823,234317,270489,315347,280022,11,2539,215833,252124,267605,317124,369341,
48,Actual Data,Branch & Regional Management,CCB.02.002,Branch Manager,55,Team Leader,263008,6,289,,251317,265441,276976,,265760,6,289,,254121,267309,281065,,326285,6,289,,292537,331689,356985,,
49,Actual Data,Branch & Regional Management,CCB.02.002,Branch Manager,56,Manager,338449,7,164,,325753,334672,351360,,340682,7,164,,328865,339765,351360,,420527,7,164,,387349,417860,455352,,
50,Actual Data,Branch & Regional Management,CCB.02.002,Branch Manager,57,Manager,440381,3,27,,,,,,440381,3,27,,,,,,557458,3,27,,,,,,
51,Actual Data,Individual Banking,CCB.02.006,Individual Banking Customer Management,46,Team Member,47656,9,571,,40780,45000,55813,,48362,9,571,,43112,45000,56657,,53229,9,571,,47987,52163,58160,,
52,Actual Data,Individual Banking,CCB.02.006,Individual Banking Customer Management,47,Team Member,64706,10,1584,56381,60109,64660,67909,77271,65451,10,1584,59101,60660,64660,68581,77540,71899,10,1584,64943,66649,72026,77165,79009,
53,Actual Data,Individual Banking,CCB.02.006,Individual Banking Customer Management,48,Team Member,86136,4,106,,,85672,,,87591,4,106,,,87040,,,93362,4,106,,,93329,,,
54,Actual Data,Individual Banking,CCB.02.006,Individual Banking Customer Management,49,Team Member,94089,10,2496,69890,77283,85274,113145,127879,94934,10,2496,70051,77283,85741,114587,127879,103313,10,2496,75969,83182,99288,124611,134613,
55,Actual Data,Individual Banking,CCB.02.006,Individual Banking Customer Management,50,Team Member,129026,9,2171,,105730,117856,152629,,130503,9,2171,,108158,117856,154859,,140351,9,2171,,117529,124817,165374,,
56,Actual Data,Individual Banking,CCB.02.006,Individual Banking Customer Management,51,Team Leader,127006,4,245,,,121332,,,128322,4,245,,,123963,,,142365,4,245,,,142950,,,
57,Actual Data,Individual Banking,CCB.02.027,Teller,45,Team Member,39722,11,2481,30994,33884,40206,42745,52394,41465,11,2481,31025,38381,40784,46011,53597,43261,11,2481,31632,40689,42376,49028,54153,
58,Actual Data,Individual Banking,CCB.02.027,Teller,46,Team Member,48359,6,2049,,37934,49897,56407,,51326,6,2049,,41471,52589,61874,,55733,6,2049,,49766,56066,63357,,
59,Actual Data,Individual Banking,CCB.02.028,Teller (Single Point),46,Team Member,44946,3,3096,,,,,,45420,3,3096,,,,,,49968,3,3096,,,,,,
60,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,46,Team Member,55306,7,23,,47160,50767,67200,,56267,7,23,,47160,50767,67200,,58197,7,23,,47709,54911,67200,,
61,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,47,Team Member,63751,8,55,,54954,63138,72330,,64713,8,55,,55246,65488,72330,,68953,8,55,,61442,70538,74661,,
62,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,48,Team Member,87145,4,9,,,83540,,,89039,4,9,,,83540,,,95507,4,9,,,91601,,,
63,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,49,Team Member,84786,7,47,,76200,89986,91329,,85122,7,47,,76213,89986,91543,,93219,7,47,,85321,94719,102881,,
64,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,50,Team Member,132761,10,388,104350,110396,126550,158319,164849,133593,10,388,105099,111560,126629,158319,164849,144692,10,388,106955,126340,140395,172052,174501,
65,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,51,Team Leader,138631,5,48,,132806,135970,145785,,139706,5,48,,132806,141347,145785,,149624,5,48,,141166,150533,157628,,
66,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,52,Team Leader,173409,6,43,,159941,175713,185145,,174457,6,43,,159941,175713,186718,,187432,6,43,,164764,188587,211794,,
67,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,53,Team Leader,228913,3,6,,,,,,228913,3,6,,,,,,264490,3,6,,,,,,
68,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,54,Team Leader,273157,6,33,,228180,267628,311850,,281589,6,33,,228931,276472,334270,,326340,6,33,,272344,325221,373069,,
69,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,55,Team Leader,274517,3,6,,,,,,274517,3,6,,,,,,327855,3,6,,,,,,
70,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,56,Manager,361474,6,13,,336279,364665,384000,,368397,6,13,,336279,370243,406786,,427291,6,13,,387998,425685,463486,,
71,Actual Data,Individual Banking,CCB.02.050,Individual Banking Sales Activity,58,Manager,461492,4,8,,,463144,,,461555,4,8,,,463144,,,589554,4,8,,,578167,,,
72,Actual Data,Credits,CCB.04.022,Retail Credit Allocation,45,Team Member,45285,3,23,,,,,,45545,3,23,,,,,,49543,3,23,,,,,,
73,Actual Data,Credits,CCB.04.022,Retail Credit Allocation,46,Team Member,53666,4,50,,,51545,,,54001,4,50,,,52215,,,58753,4,50,,,57804,,,
74,Actual Data,Credits,CCB.04.022,Retail Credit Allocation,47,Team Member,65131,7,37,,57732,67926,73744,,65573,7,37,,57732,69092,73744,,68169,7,37,,57732,74766,78508,,
75,Actual Data,Credits,CCB.04.022,Retail Credit Allocation,48,Team Member,85349,3,9,,,,,,85349,3,9,,,,,,88065,3,9,,,,,,
76,Actual Data,Credits,CCB.04.022,Retail Credit Allocation,49,Team Member,93014,7,88,,68593,87348,113334,,93196,7,88,,69107,87348,113334,,98312,7,88,,75903,93623,126736,,
77,Actual Data,Credits,CCB.04.022,Retail Credit Allocation,50,Team Member,117736,8,196,,105437,115293,131969,,118028,8,196,,107062,115293,132012,,127291,8,196,,112042,122241,146860,,
78,Actual Data,Credits,CCB.04.022,Retail Credit Allocation,51,Team Leader,140778,5,12,,125741,148872,151767,,142545,5,12,,127809,150655,153226,,156811,5,12,,140045,150655,176656,,
79,Actual Data,Credits,CCB.04.022,Retail Credit Allocation,52,Team Leader,179049,5,29,,166666,182400,189757,,181236,5,29,,166666,186956,192946,,200163,5,29,,172905,206369,224318,,
80,Actual Data,Credits,CCB.04.022,Retail Credit Allocation,54,Team Leader,232258,4,13,,,214177,,,232311,4,13,,,214177,,,285524,4,13,,,285180,,,
81,Actual Data,Credits,CCB.04.023,Individual Consumer Loan Allocation,47,Team Member,69197,4,29,,,68793,,,69197,4,29,,,68793,,,71709,4,29,,,72268,,,
82,Actual Data,Credits,CCB.04.023,Individual Consumer Loan Allocation,50,Team Member,125484,5,129,,113260,123572,138665,,125933,5,129,,113260,123654,139746,,133464,5,129,,113260,133889,153455,,
83,Actual Data,Credits,CCB.04.023,Individual Consumer Loan Allocation,52,Team Leader,168851,5,21,,161121,164088,178962,,169871,5,21,,161121,164088,181512,,179431,5,21,,167318,176228,193146,,
84,Actual Data,Credits,CCB.04.023,Individual Consumer Loan Allocation,53,Team Leader,225517,3,4,,,,,,225517,3,4,,,,,,248967,3,4,,,,,,
85,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,46,Team Member,62429,8,28,,49239,59237,74662,,63030,8,28,,49239,59237,76403,,65359,8,28,,49793,62702,77853,,
86,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,47,Team Member,68726,10,101,60294,66228,69037,70801,77397,70055,10,101,60745,66228,69037,74549,79728,73227,10,101,63048,68568,73392,77774,83535,
87,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,48,Team Member,86554,4,35,,,86010,,,87620,4,35,,,88142,,,90970,4,35,,,91659,,,
88,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,49,Team Member,95177,10,223,73545,76238,98255,111915,118058,95929,10,223,73646,76238,98255,114020,121087,102484,10,223,76664,83044,102469,122687,131690,
89,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,50,Team Member,131783,11,437,102776,116372,137009,148230,162708,132747,11,437,102864,116372,137009,148230,166254,142905,11,437,105945,126076,149943,157661,179347,
90,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,51,Team Leader,143742,5,125,,137173,139989,152187,,144969,5,125,,138827,142815,152187,,156341,5,125,,147765,150655,167760,,
91,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,52,Team Leader,176539,9,83,,165658,174671,186892,,178510,9,83,,165658,174671,190266,,196529,9,83,,178284,202655,209916,,
92,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,53,Team Leader,243536,5,25,,224721,234432,266902,,244549,5,25,,224721,234643,269330,,275944,5,25,,254373,259036,305969,,
93,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,54,Team Leader,242957,9,93,,203987,240000,273112,,248497,9,93,,204043,244766,293881,,280970,9,93,,231342,266098,318304,,
94,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,55,Team Leader,264139,4,31,,,271550,,,266330,4,31,,,271550,,,306831,4,31,,,311782,,,
95,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,56,Manager,348351,10,24,301603,315833,338550,384665,406855,348911,10,24,301830,315833,338550,384665,406855,405467,10,24,369088,378032,390937,430682,482570,
96,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,57,Manager,395880,4,23,,,368781,,,406328,4,23,,,368781,,,472087,4,23,,,434508,,,
97,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,58,Manager,492769,5,38,,449594,488376,538139,,500071,5,38,,449721,488376,556268,,620786,5,38,,573794,613773,671285,,
98,Actual Data,Credits,CCB.04.025,Commercial / Corporate Credit Allocation & Regional Manager,59,Director,541315,4,8,,,524558,,,576895,4,8,,,524558,,,716100,4,8,,,668505,,,
99,Actual Data,Credits,CCB.04.064,Credits,46,Team Member,58036,3,9,,,,,,58296,3,9,,,,,,59069,3,9,,,,,,
100,Actual Data,Credits,CCB.04.064,Credits,50,Team Member,128496,3,28,,,,,,130357,3,28,,,,,,135395,3,28,,,,,,
101,Actual Data,Credits,CCB.04.999,Credit Monitoring,45,Team Member,47991,5,110,,37942,41808,61131,,48191,5,110,,38052,41808,61521,,51666,5,110,,43846,46377,62130,,
102,Actual Data,Credits,CCB.04.999,Credit Monitoring,46,Team Member,51036,8,76,,45722,51780,55818,,51154,8,76,,45722,51780,55818,,55405,8,76,,51036,53162,61831,,
103,Actual Data,Credits,CCB.04.999,Credit Monitoring,47,Team Member,68031,11,118,54025,63436,68633,74412,78291,68943,11,118,54025,64480,70000,74802,78906,73451,11,118,60077,66743,73500,78604,84764,
104,Actual Data,Credits,CCB.04.999,Credit Monitoring,48,Team Member,85698,4,12,,,83970,,,86731,4,12,,,85836,,,88745,4,12,,,88987,,,
105,Actual Data,Credits,CCB.04.999,Credit Monitoring,49,Team Member,95079,9,181,,77983,100414,111443,,95564,9,181,,78001,101327,113150,,104037,9,181,,85453,105886,123222,,
106,Actual Data,Credits,CCB.04.999,Credit Monitoring,50,Team Member,120590,9,168,,105360,110817,139701,,121875,9,168,,105409,110817,143212,,130236,9,168,,111368,124934,151234,,
107,Actual Data,Credits,CCB.04.999,Credit Monitoring,51,Team Leader,135498,3,78,,,,,,136616,3,78,,,,,,142654,3,78,,,,,,
108,Actual Data,Credits,CCB.04.999,Credit Monitoring,52,Team Leader,181148,8,29,,166718,184484,191604,,189144,8,29,,166718,185989,196414,,204191,8,29,,180442,202552,219867,,
109,Actual Data,Credits,CCB.04.999,Credit Monitoring,53,Team Leader,240328,5,10,,223752,240510,256814,,240872,5,10,,223752,242748,257055,,272587,5,10,,257077,271623,288579,,
110,Actual Data,Credits,CCB.04.999,Credit Monitoring,54,Team Leader,227142,8,51,,205365,221724,238688,,233876,8,51,,205365,222016,247498,,265296,8,51,,234661,268175,281623,,
111,Actual Data,Credits,CCB.04.999,Credit Monitoring,55,Team Leader,276470,4,17,,,277800,,,276470,4,17,,,277800,,,323761,4,17,,,324726,,,
112,Actual Data,Credits,CCB.04.999,Credit Monitoring,56,Manager,326393,7,10,,311802,318120,330000,,328077,7,10,,311802,318120,341537,,395554,7,10,,352177,376500,418785,,
113,Actual Data,Credits,CCB.04.999,Credit Monitoring,57,Manager,386585,4,8,,,361483,,,386648,4,8,,,361610,,,476814,4,8,,,466054,,,
114,Actual Data,Commercial & SME Customer Management,CCB.05.001,SME Banking Customer Management,46,Team Member,49608,6,388,,42266,45423,61075,,50714,6,388,,43394,45761,62158,,52898,6,388,,45567,49514,63341,,
115,Actual Data,Commercial & SME Customer Management,CCB.05.001,SME Banking Customer Management,47,Team Member,66243,8,1098,,58719,66687,72529,,67246,8,1098,,60964,66724,74471,,71308,8,1098,,65046,73907,76877,,
116,Actual Data,Commercial & SME Customer Management,CCB.05.001,SME Banking Customer Management,48,Team Member,83079,4,78,,,82536,,,84989,4,78,,,85065,,,91107,4,78,,,90575,,,
117,Actual Data,Commercial & SME Customer Management,CCB.05.001,SME Banking Customer Management,49,Team Member,88526,5,1865,,81559,86601,96455,,89471,5,1865,,81559,86678,98780,,95970,5,1865,,83219,93833,109790,,
118,Actual Data,Commercial & SME Customer Management,CCB.05.001,SME Banking Customer Management,50,Team Member,120642,7,3494,,113098,122244,127025,,121997,7,3494,,113488,122244,127185,,132365,7,3494,,122244,135201,140081,,
119,Actual Data,Commercial & SME Customer Management,CCB.05.001,SME Banking Customer Management,51,Team Leader,126824,4,571,,,128110,,,129386,4,571,,,130472,,,141675,4,571,,,144442,,,
120,Actual Data,Commercial & SME Customer Management,CCB.05.001,SME Banking Customer Management,52,Team Leader,167387,3,11,,,,,,169974,3,11,,,,,,186046,3,11,,,,,,
121,Actual Data,Commercial & SME Customer Management,CCB.05.002,Commercial Banking Customer Management,46,Team Member,51146,6,174,,44729,49817,56997,,51953,6,174,,45393,50140,57572,,54383,6,174,,47598,53452,60240,,
122,Actual Data,Commercial & SME Customer Management,CCB.05.002,Commercial Banking Customer Management,47,Team Member,72101,10,283,66198,69636,72843,73535,78125,72667,10,283,68710,69723,72940,74038,78326,78748,10,283,68877,75029,79308,83353,86182,
123,Actual Data,Commercial & SME Customer Management,CCB.05.002,Commercial Banking Customer Management,48,Team Member,87819,4,48,,,87247,,,88331,4,48,,,87564,,,93176,4,48,,,91843,,,
124,Actual Data,Commercial & SME Customer Management,CCB.05.002,Commercial Banking Customer Management,49,Team Member,75316,7,272,,68322,71241,84041,,75728,7,272,,70791,71437,84041,,81320,7,272,,72426,81823,84041,,
125,Actual Data,Commercial & SME Customer Management,CCB.05.002,Commercial Banking Customer Management,50,Team Member,131996,9,1307,,112697,138282,148813,,133006,9,1307,,116708,139161,148813,,144473,9,1307,,131137,150388,157560,,
126,Actual Data,Commercial & SME Customer Management,CCB.05.002,Commercial Banking Customer Management,51,Team Leader,136775,4,287,,,134284,,,138911,4,287,,,137328,,,155297,4,287,,,156419,,,
127,Actual Data,Commercial & SME Customer Management,CCB.05.002,Commercial Banking Customer Management,53,Team Leader,242232,3,5,,,,,,242302,3,5,,,,,,277912,3,5,,,,,,
128,Actual Data,Private Banking,CCB.05.003,Private Banking Customer Management & Branch Manager,47,Team Member,69001,5,41,,61849,70106,75601,,71442,5,41,,67059,71891,75601,,77832,5,41,,73689,79044,81368,,
129,Actual Data,Private Banking,CCB.05.003,Private Banking Customer Management & Branch Manager,49,Team Member,104058,4,16,,,77532,,,107609,4,16,,,81803,,,117287,4,16,,,87405,,,
130,Actual Data,Private Banking,CCB.05.003,Private Banking Customer Management & Branch Manager,50,Team Member,141850,8,212,,115390,142462,170702,,143422,8,212,,119228,142462,170702,,156779,8,212,,130841,149418,182097,,
131,Actual Data,Private Banking,CCB.05.003,Private Banking Customer Management & Branch Manager,51,Team Leader,141325,4,15,,,143183,,,143185,4,15,,,144180,,,151420,4,15,,,154647,,,
132,Actual Data,Private Banking,CCB.05.003,Private Banking Customer Management & Branch Manager,52,Team Leader,185834,3,139,,,,,,185888,3,139,,,,,,207306,3,139,,,,,,
133,Actual Data,Private Banking,CCB.05.003,Private Banking Customer Management & Branch Manager,54,Team Leader,247007,4,11,,,242720,,,247165,4,11,,,242920,,,282061,4,11,,,275912,,,
134,Actual Data,SME Banking,CCB.05.999,SME Banking Sales Activity,47,Team Member,63771,3,8,,,,,,64967,3,8,,,,,,69641,3,8,,,,,,
135,Actual Data,SME Banking,CCB.05.999,SME Banking Sales Activity,49,Team Member,82046,3,13,,,,,,83050,3,13,,,,,,91064,3,13,,,,,,
136,Actual Data,SME Banking,CCB.05.999,SME Banking Sales Activity,50,Team Member,133853,5,156,,116703,133097,151381,,134736,5,156,,118040,133097,152252,,145872,5,156,,131481,138461,163969,,
137,Actual Data,SME Banking,CCB.05.999,SME Banking Sales Activity,54,Team Leader,253089,4,35,,,243755,,,264500,4,35,,,264524,,,310793,4,35,,,312195,,,
138,Actual Data,Operations,CCB.06.013,Banking Operations,44,Unskilled Worker,39570,5,32,,33907,39624,45207,,39738,5,32,,34100,40074,45207,,40375,5,32,,34913,40074,45987,,
139,Actual Data,Operations,CCB.06.013,Banking Operations,45,Team Member,41740,11,357,35293,37209,41004,47735,49628,42105,11,357,35338,37209,41004,49330,50635,43379,11,357,35815,38542,42653,49816,52881,
140,Actual Data,Operations,CCB.06.013,Banking Operations,46,Team Member,55594,10,788,41154,48910,55169,61064,71519,56109,10,788,41756,48910,56162,62144,71562,58727,10,788,45611,52825,57483,63738,76604,
141,Actual Data,Operations,CCB.06.013,Banking Operations,47,Team Member,66951,11,745,54435,62299,68559,72433,76093,67280,11,745,54956,62299,68559,72433,76511,70715,11,745,59638,64041,70852,78642,80877,
142,Actual Data,Operations,CCB.06.013,Banking Operations,48,Team Member,89336,9,59,,85831,87402,92730,,89921,9,59,,86420,89805,92730,,94283,9,59,,88014,95535,99265,,
143,Actual Data,Operations,CCB.06.013,Banking Operations,49,Team Member,95507,10,962,75437,84013,94608,105601,118192,95908,10,962,75478,84117,96139,105601,118192,102662,10,962,82932,90315,102072,110451,133739,
